,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
0.0,0.0,0.0,2.0,1.0,28.0,1.0,0.0,18.0
1.0,1.0,1.0,0.0,0.0,52.0,1.0,0.0,207.0
2.0,2.0,1.0,2.0,0.0,34.0,0.0,0.0,41.0
3.0,3.0,1.0,0.0,0.0,48.0,1.0,0.0,189.0
4.0,4.0,0.0,2.0,1.0,48.0,0.0,0.0,43.0
5.0,5.0,0.0,2.0,1.0,39.0,0.0,0.0,51.0
6.0,6.0,0.0,0.0,1.0,70.0,0.0,0.0,186.0
7.0,7.0,0.0,2.0,1.0,6.0,3.0,1.0,124.0
8.0,8.0,1.0,2.0,0.0,35.0,0.0,2.0,74.0
9.0,9.0,1.0,1.0,0.0,18.0,1.0,0.0,154.0
10.0,10.0,1.0,2.0,0.0,8.0,1.0,1.0,110.0
11.0,11.0,1.0,0.0,0.0,75.0,0.0,0.0,143.0
12.0,12.0,0.0,2.0,1.0,25.0,0.0,0.0,43.0
13.0,13.0,0.0,2.0,1.0,53.0,1.0,5.0,158.0
14.0,14.0,0.0,2.0,0.0,18.0,0.0,0.0,36.0
15.0,15.0,1.0,1.0,0.0,71.0,0.0,0.0,108.0
16.0,16.0,0.0,2.0,1.0,6.0,4.0,1.0,151.0
17.0,17.0,1.0,1.0,1.0,39.0,0.0,0.0,85.0
18.0,18.0,0.0,2.0,0.0,42.0,1.0,0.0,113.0
19.0,19.0,1.0,2.0,0.0,39.0,0.0,0.0,16.0
20.0,20.0,0.0,1.0,1.0,48.0,0.0,0.0,138.0
21.0,21.0,1.0,1.0,1.0,46.0,0.0,0.0,85.0
22.0,22.0,1.0,2.0,0.0,20.0,0.0,0.0,42.0
23.0,23.0,1.0,0.0,1.0,36.0,0.0,0.0,168.0
24.0,24.0,0.0,2.0,0.0,12.0,3.0,1.0,124.0
25.0,25.0,1.0,2.0,0.0,52.0,1.0,5.0,159.0
26.0,26.0,0.0,2.0,1.0,39.0,0.0,0.0,16.0
27.0,27.0,0.0,0.0,1.0,24.0,3.0,2.0,246.0
28.0,28.0,1.0,2.0,0.0,39.0,0.0,0.0,38.0
